name,latitude,longitude,state
Taunusstein,50.14993,8.15206,Hesse
Gaggenau,48.8,8.33333,Baden-Wuerttemberg
Geesthacht,53.43575,10.3779,Schleswig-Holstein
Zeitz,51.04962,12.1369,Saxony-Anhalt
Altona-Altstadt,53.55018,9.94653,Hamburg
Haan,51.19382,7.0133,North Rhine-Westphalia
Oelde,51.8289,8.14724,North Rhine-Westphalia
Bühl,48.69676,8.13523,Baden-Wuerttemberg
Kelkheim,50.13703,8.4502,Hesse
Wetter,51.38747,7.39277,North Rhine-Westphalia
Senftenberg,51.52517,14.00164,Brandenburg
Biesdorf,52.50906,13.5534,Berlin
Düsseldorf-Pempelfort,51.23812,6.78678,North Rhine-Westphalia
Vaihingen an der Enz,48.93563,8.96045,Baden-Wuerttemberg
Köthen,51.75185,11.97093,Saxony-Anhalt
Rietberg,51.80924,8.42841,North Rhine-Westphalia
Mühlheim am Main,50.11667,8.83333,Hesse
Warstein,51.44488,8.34851,North Rhine-Westphalia
Meissen,51.16158,13.4737,Saxony
Neuburg an der Donau,48.73218,11.18709,Bavaria
Winnenden,48.87563,9.39819,Baden-Wuerttemberg
Geilenkirchen,50.96745,6.11763,North Rhine-Westphalia
Rendsburg,54.30663,9.66313,Schleswig-Holstein
Schwandorf in Bayern,49.32534,12.1098,Bavaria
Plettenberg,51.20949,7.87261,North Rhine-Westphalia
Karlshorst,52.48419,13.53185,Berlin
Baunatal,51.25182,9.40747,Hesse
Neustadt/Nord,50.949,6.9479,North Rhine-Westphalia
Bretten,49.03685,8.70745,Baden-Wuerttemberg
Lennestadt,51.11721,8.06707,North Rhine-Westphalia
Kevelaer,51.58243,6.24603,North Rhine-Westphalia
